top_level_category,second_level_category,category_type,season
Audio,Amplifiers & Mixers,UNCOMMON,Rainy Season
Audio,Audio & Video Cables & Converters,COMMON,Christmas Season
Audio,"Earphones, Headphones & Headsets",COMMON,Summer Season
Audio,"Earphones, Headphones & Headsets",COMMON,Christmas Season
Audio,Home Audio & Speakers,COMMON,Christmas Season
Audio,Media Players,UNCOMMON,Rainy Season
Audio,Microphones,UNCOMMON,Back-to-School Season
Audio,Others,UNCOMMON,Rainy Season
Automobiles,Automobile Exterior Accessories,COMMON,Halloween / Undas Season
Automobiles,Automobile Exterior Accessories,COMMON,Rainy Season
Automobiles,Automobile Interior Accessories,COMMON,Back-to-School Season
Automobiles,Automobile Interior Accessories,COMMON,Summer Season
Automobiles,Automobile Spare Parts,UNCOMMON,Rainy Season
Automobiles,Automotive Care,UNCOMMON,Holy Week / Lent Season
Automobiles,Automotive Keychains & Key Covers,UNCOMMON,Back-to-School Season
Automobiles,Automotive Oils & Lubes,COMMON,Rainy Season
Automobiles,Automotive Tools,COMMON,Rainy Season
Baby & Kids Fashion,Baby & Kids Accessories,COMMON,Back-to-School Season
Baby & Kids Fashion,Baby & Kids Accessories,COMMON,Summer Season
Baby & Kids Fashion,Baby Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Baby Mittens & Footwear,UNCOMMON,Halloween / Undas Season
Baby & Kids Fashion,Boy Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Boy Shoes,UNCOMMON,Rainy Season
Baby & Kids Fashion,Girl Clothes,UNCOMMON,Summer Season
Baby & Kids Fashion,Girl Shoes,UNCOMMON,Back-to-School Season
Beauty,Bath & Body Care,COMMON,Holy Week / Lent Season
Beauty,Bath & Body Care,COMMON,Rainy Season
Beauty,Bath & Body Care,COMMON,Summer Season
Beauty,Beauty Sets & Packages,COMMON,Valentine's Season
Beauty,Beauty Sets & Packages,COMMON,Christmas Season
Beauty,Beauty Tools,UNCOMMON,Back-to-School Season
Beauty,Hair Care,COMMON,Summer Season
Beauty,"Hand, Foot & Nail Care",COMMON,Valentine's Season
Beauty,Makeup,COMMON,Valentine's Season
Beauty,Makeup,COMMON,Halloween / Undas Season
Beauty,Men's Care,UNCOMMON,Rainy Season
Beauty,Perfumes & Fragrances,COMMON,Valentine's Season
Beauty,Perfumes & Fragrances,COMMON,Christmas Season
Beauty,Skincare,COMMON,Summer Season
Beauty,Skincare,COMMON,Christmas Season
Books & Magazines,Books,COMMON,Valentine's Season
Books & Magazines,Books,COMMON,Holy Week / Lent Season
Books & Magazines,Magazines & Newspaper,COMMON,Holy Week / Lent Season
Cameras & Drones,Camera Accessories,COMMON,Back-to-School Season
Cameras & Drones,Camera Accessories,COMMON,Summer Season
Cameras & Drones,Camera Care,UNCOMMON,Valentine's Season
Cameras & Drones,Cameras,COMMON,Christmas Season
Cameras & Drones,Drone Accessories,COMMON,Back-to-School Season
Cameras & Drones,Drone Accessories,COMMON,Summer Season
Cameras & Drones,Drones,COMMON,Christmas Season
Cameras & Drones,Lens Accessories,COMMON,Back-to-School Season
Cameras & Drones,Lens Accessories,COMMON,Summer Season
Cameras & Drones,Lenses,UNCOMMON,Back-to-School Season
Cameras & Drones,Security Cameras & Systems,UNCOMMON,Holy Week / Lent Season
Computers & Accessories,Data Storage,COMMON,Back-to-School Season
Computers & Accessories,Desktop & Laptop Components,UNCOMMON,Rainy Season
Computers & Accessories,Desktop Computers,UNCOMMON,Summer Season
Computers & Accessories,Keyboards & Mice,COMMON,Back-to-School Season
Computers & Accessories,Laptops,COMMON,Back-to-School Season
Computers & Accessories,Monitors,COMMON,Back-to-School Season
Computers & Accessories,Network Components,UNCOMMON,Back-to-School Season
Computers & Accessories,Office Equipment,COMMON,Back-to-School Season
Computers & Accessories,Peripherals & Accessories,COMMON,Back-to-School Season
Computers & Accessories,Printers & Scanners,COMMON,Back-to-School Season
Computers & Accessories,Softwares,UNCOMMON,Valentine's Season
Fashion Accessories,Accessories Sets & Packages,COMMON,Valentine's Season
Fashion Accessories,Accessories Sets & Packages,COMMON,Christmas Season
Fashion Accessories,Additional Accessories,COMMON,Back-to-School Season
Fashion Accessories,Additional Accessories,COMMON,Summer Season
Fashion Accessories,Anklets,UNCOMMON,Summer Season
Fashion Accessories,Belts,COMMON,Valentine's Season
Fashion Accessories,Bracelets & Bangles,COMMON,Valentine's Season
Fashion Accessories,Bracelets & Bangles,COMMON,Christmas Season
Fashion Accessories,Earrings,COMMON,Valentine's Season
Fashion Accessories,Earrings,COMMON,Christmas Season
Fashion Accessories,Eyewear,COMMON,Summer Season
Fashion Accessories,Gloves,UNCOMMON,Holy Week / Lent Season
Fashion Accessories,Hair Accessories,COMMON,Summer Season
Fashion Accessories,Hats & Caps,COMMON,Summer Season
Fashion Accessories,Investment Precious Metals,UNCOMMON,Rainy Season
Fashion Accessories,Necklaces,COMMON,Valentine's Season
Fashion Accessories,Necklaces,COMMON,Christmas Season
Fashion Accessories,"Neckties, Bow Ties & Cravats",UNCOMMON,Valentine's Season
Fashion Accessories,Rings,COMMON,Valentine's Season
Fashion Accessories,Rings,COMMON,Christmas Season
Fashion Accessories,Scarves & Shawls,COMMON,Summer Season
Food & Beverages,Alcoholic Beverages,COMMON,Valentine's Season
Food & Beverages,Alcoholic Beverages,COMMON,Christmas Season
Food & Beverages,Bakery,COMMON,Christmas Season
Food & Beverages,Baking Needs,COMMON,Holy Week / Lent Season
Food & Beverages,Beverages,COMMON,Summer Season
Food & Beverages,Breakfast Cereals & Spread,UNCOMMON,Back-to-School Season
Food & Beverages,Convenience / Ready,COMMON,Halloween / Undas Season
Food & Beverages,Convenience / Ready,COMMON,Holy Week / Lent Season
Food & Beverages,Cooking Essentials,COMMON,Holy Week / Lent Season
Food & Beverages,Dairy & Eggs,COMMON,Summer Season
Food & Beverages,Food Staples,UNCOMMON,Rainy Season
Food & Beverages,Fresh & Frozen Food,COMMON,Halloween / Undas Season
Food & Beverages,Fresh & Frozen Food,COMMON,Summer Season
Food & Beverages,Gift Set & Hampers,COMMON,Valentine's Season
Food & Beverages,Gift Set & Hampers,COMMON,Christmas Season
Food & Beverages,Snacks,COMMON,Valentine's Season
Food & Beverages,Snacks,COMMON,Halloween / Undas Season
Food & Beverages,Snacks,COMMON,Summer Season
Food & Beverages,Snacks,COMMON,Christmas Season
Gaming & Consoles,Console Accessories,COMMON,Back-to-School Season
Gaming & Consoles,Console Accessories,COMMON,Summer Season
Gaming & Consoles,Console Machines,UNCOMMON,Christmas Season
Gaming & Consoles,Video Games,UNCOMMON,Summer Season
Health,Food Supplement,COMMON,Rainy Season
Health,Medical Supplies,COMMON,Rainy Season
Health,Personal Care,COMMON,Rainy Season
Health,Sexual Wellness,UNCOMMON,Holy Week / Lent Season
Hobbies & Collections,"CD, DVD & Bluray",UNCOMMON,Rainy Season
Hobbies & Collections,Collectible Items,COMMON,Valentine's Season
Hobbies & Collections,Musical Instruments & Accessories,COMMON,Back-to-School Season
Hobbies & Collections,Musical Instruments & Accessories,COMMON,Summer Season
Hobbies & Collections,Needlework,UNCOMMON,Summer Season
Hobbies & Collections,Photo Albums,COMMON,Christmas Season
Hobbies & Collections,Souvenirs,COMMON,Valentine's Season
Hobbies & Collections,Souvenirs,COMMON,Halloween / Undas Season
Hobbies & Collections,Souvenirs,COMMON,Christmas Season
Hobbies & Collections,Toys & Games,COMMON,Halloween / Undas Season
Hobbies & Collections,Toys & Games,COMMON,Christmas Season
Home & Living,Bathrooms,UNCOMMON,Back-to-School Season
Home & Living,Bedding,COMMON,Rainy Season
Home & Living,Decoration,COMMON,Halloween / Undas Season
Home & Living,Decoration,COMMON,Christmas Season
Home & Living,Dinnerware,UNCOMMON,Rainy Season
Home & Living,Fengshui & Religious Supplies,COMMON,Holy Week / Lent Season
Home & Living,Furniture,UNCOMMON,Back-to-School Season
Home & Living,Gardening,UNCOMMON,Holy Week / Lent Season
Home & Living,"Hand Warmers, Hot Water Bags & Ice Bags",UNCOMMON,Summer Season
Home & Living,Home Care Supplies,COMMON,Rainy Season
Home & Living,Home Fragrance & Aromatherapy,COMMON,Holy Week / Lent Season
Home & Living,Home Organizers,COMMON,Rainy Season
Home & Living,Home Organizers,COMMON,Christmas Season
Home & Living,Kitchenware,COMMON,Christmas Season
Home & Living,Lighting,COMMON,Rainy Season
Home & Living,Party Supplies,COMMON,Christmas Season
Home & Living,Safety & Security,COMMON,Halloween / Undas Season
Home & Living,Safety & Security,COMMON,Rainy Season
Home & Living,Tools & Home Improvement,COMMON,Rainy Season
Home Appliances,Batteries,UNCOMMON,Holy Week / Lent Season
Home Appliances,E,COMMON,Halloween / Undas Season
Home Appliances,E,COMMON,Christmas Season
Home Appliances,E,COMMON,Summer Season
Home Appliances,E,COMMON,Back-to-School Season
Home Appliances,E,COMMON,Valentine's Season
Home Appliances,E,COMMON,Rainy Season
Home Appliances,E,COMMON,Holy Week / Lent Season
Home Appliances,Electrical Circuitry & Parts,COMMON,Rainy Season
Home Appliances,Kitchen Appliances,COMMON,Summer Season
Home Appliances,Kitchen Appliances,COMMON,Christmas Season
Home Appliances,Large Household Appliances,UNCOMMON,Summer Season
Home Appliances,Projectors & Accessories,COMMON,Back-to-School Season
Home Appliances,Projectors & Accessories,COMMON,Summer Season
Home Appliances,Remote Controls,UNCOMMON,Back-to-School Season
Home Appliances,Small Household Appliances,COMMON,Back-to-School Season
Home Appliances,Small Household Appliances,COMMON,Rainy Season
Home Appliances,Small Household Appliances,COMMON,Summer Season
Home Appliances,TVs & Accessories,COMMON,Christmas Season
Men Bags,Backpacks,COMMON,Back-to-School Season
Men Bags,Briefcases,UNCOMMON,Back-to-School Season
Men Bags,Clutches,COMMON,Valentine's Season
Men Bags,Crossbody & Shoulder Bags,COMMON,Valentine's Season
Men Bags,Crossbody & Shoulder Bags,COMMON,Christmas Season
Men Bags,Laptop Bags,COMMON,Back-to-School Season
Men Bags,Tote Bags,COMMON,Christmas Season
Men Bags,Waist Bags & Chest Bags,UNCOMMON,Christmas Season
Men Bags,Wallets,COMMON,Valentine's Season
Men Bags,Wallets,COMMON,Christmas Season
Men Clothes,Costumes,COMMON,Halloween / Undas Season
Men Clothes,Hoodies & Sweatshirts,COMMON,Rainy Season
Men Clothes,Innerwear & Underwear,UNCOMMON,Summer Season
Men Clothes,"Jackets, Coats & Vests",COMMON,Rainy Season
Men Clothes,"Jackets, Coats & Vests",COMMON,Christmas Season
Men Clothes,Jeans,UNCOMMON,Christmas Season
Men Clothes,Occupational Attire,UNCOMMON,Rainy Season
Men Clothes,Pants,COMMON,Back-to-School Season
Men Clothes,Pants,COMMON,Rainy Season
Men Clothes,Sets,COMMON,Summer Season
Men Clothes,Sets,COMMON,Christmas Season
Men Clothes,Shorts,COMMON,Summer Season
Men Clothes,Sleepwear,COMMON,Rainy Season
Men Clothes,Socks,COMMON,Back-to-School Season
Men Clothes,Socks,COMMON,Rainy Season
Men Clothes,Suits,UNCOMMON,Back-to-School Season
Men Clothes,Sweaters & Cardigans,COMMON,Rainy Season
Men Clothes,Tops,COMMON,Back-to-School Season
Men Clothes,Tops,COMMON,Summer Season
Men Clothes,Tops,COMMON,Christmas Season
Men Clothes,Traditional Wear,COMMON,Holy Week / Lent Season
Men Shoes,Boots,COMMON,Rainy Season
Men Shoes,Loafers & Boat Shoes,UNCOMMON,Back-to-School Season
Men Shoes,Oxfords & Lace,UNCOMMON,Back-to-School Season
Men Shoes,Sandals & Flip Flops,COMMON,Summer Season
Men Shoes,Shoe Care & Accessories,COMMON,Back-to-School Season
Men Shoes,Shoe Care & Accessories,COMMON,Summer Season
Men Shoes,Slip Ons & Mules,COMMON,Summer Season
Men Shoes,Sneakers,COMMON,Rainy Season
Mobile & Gadgets,Accessories,COMMON,Back-to-School Season
Mobile & Gadgets,Accessories,COMMON,Summer Season
Mobile & Gadgets,Mobile Phones,COMMON,Back-to-School Season
Mobile & Gadgets,Sim Cards,UNCOMMON,Summer Season
Mobile & Gadgets,Tablets,COMMON,Back-to-School Season
Mobile & Gadgets,Walkie Talkies,UNCOMMON,Summer Season
Mobile & Gadgets,Wearable Devices,COMMON,Summer Season
Mom & Baby,Baby Healthcare,COMMON,Rainy Season
Mom & Baby,Baby Safety,UNCOMMON,Back-to-School Season
Mom & Baby,Baby Travel Essentials,COMMON,Back-to-School Season
Mom & Baby,Baby Travel Essentials,COMMON,Holy Week / Lent Season
Mom & Baby,Diapering & Potty,UNCOMMON,Summer Season
Mom & Baby,Feeding Essentials,UNCOMMON,Summer Season
Mom & Baby,Gift Sets & Packages,COMMON,Summer Season
Mom & Baby,Gift Sets & Packages,COMMON,Christmas Season
Mom & Baby,Maternity Accessories,COMMON,Back-to-School Season
Mom & Baby,Maternity Accessories,COMMON,Summer Season
Mom & Baby,Maternity Healthcare,UNCOMMON,Rainy Season
Mom & Baby,Milk Formula & Baby Food,UNCOMMON,Summer Season
Mom & Baby,Nursery,COMMON,Back-to-School Season
Mom & Baby,Toys,COMMON,Halloween / Undas Season
Mom & Baby,Toys,COMMON,Christmas Season
Motorcycles,Motorcycle Accessories,COMMON,Halloween / Undas Season
Motorcycles,Motorcycle Accessories,COMMON,Rainy Season
Motorcycles,Motorcycle Helmets & Accessories,COMMON,Rainy Season
Motorcycles,Motorcycle Spare Parts,UNCOMMON,Rainy Season
Muslim Fashion,Men Muslim Wear,UNCOMMON,Valentine's Season
Muslim Fashion,Prayer Attire & Equipment,UNCOMMON,Valentine's Season
Muslim Fashion,Women Muslim Wear,UNCOMMON,Holy Week / Lent Season
Pets,Litter & Toilet,UNCOMMON,Halloween / Undas Season
Pets,Pet Accessories,COMMON,Back-to-School Season
Pets,Pet Accessories,COMMON,Summer Season
Pets,Pet Clothing & Accessories,COMMON,Back-to-School Season
Pets,Pet Clothing & Accessories,COMMON,Summer Season
Pets,Pet Food,UNCOMMON,Back-to-School Season
Pets,Pet Grooming,COMMON,Rainy Season
Pets,Pet Healthcare,COMMON,Rainy Season
Sports & Outdoors,Sports & Outdoor Accessories,COMMON,Back-to-School Season
Sports & Outdoors,Sports & Outdoor Accessories,COMMON,Summer Season
Sports & Outdoors,Sports & Outdoor Apparels,COMMON,Summer Season
Sports & Outdoors,Sports & Outdoor Recreation Equipments,COMMON,Summer Season
Sports & Outdoors,Sports Footwear,COMMON,Summer Season
Stationery,Art Supplies,COMMON,Back-to-School Season
Stationery,Gift & Wrapping,COMMON,Back-to-School Season
Stationery,Letters & Envelopes,UNCOMMON,Summer Season
Stationery,Notebooks & Papers,COMMON,Back-to-School Season
Stationery,School & Office Equipment,COMMON,Back-to-School Season
Stationery,Writing & Correction,COMMON,Back-to-School Season
"Tickets, Vouchers & Services",Events & Attractions,UNCOMMON,Summer Season
"Tickets, Vouchers & Services",Services,UNCOMMON,Summer Season
"Tickets, Vouchers & Services",Shopping,UNCOMMON,Holy Week / Lent Season
"Tickets, Vouchers & Services",Telco,UNCOMMON,Summer Season
"Tickets, Vouchers & Services",Utilities,UNCOMMON,Valentine's Season
Travel & Luggage,Luggage,COMMON,Halloween / Undas Season
Travel & Luggage,Luggage,COMMON,Summer Season
Travel & Luggage,Luggage,COMMON,Holy Week / Lent Season
Travel & Luggage,Travel Accessories,COMMON,Summer Season
Travel & Luggage,Travel Accessories,COMMON,Holy Week / Lent Season
Travel & Luggage,Travel Bags,COMMON,Halloween / Undas Season
Travel & Luggage,Travel Bags,COMMON,Summer Season
Travel & Luggage,Travel Bags,COMMON,Holy Week / Lent Season
Watches,Men Watches,COMMON,Valentine's Season
Watches,Men Watches,COMMON,Christmas Season
Watches,Set & Couple Watches,COMMON,Valentine's Season
Watches,Set & Couple Watches,COMMON,Christmas Season
Watches,Watches Accessories,COMMON,Back-to-School Season
Watches,Watches Accessories,COMMON,Summer Season
Watches,Women Watches,COMMON,Valentine's Season
Watches,Women Watches,COMMON,Christmas Season
Women Bags,Bag Accessories,COMMON,Back-to-School Season
Women Bags,Bag Accessories,COMMON,Summer Season
Women Bags,Clutches & Wristlets,COMMON,Valentine's Season
Women Bags,Top,COMMON,Back-to-School Season
Women Bags,Top,COMMON,Summer Season
Women Bags,Top,COMMON,Christmas Season
Women Clothes,Dresses,COMMON,Summer Season
Women Clothes,Dresses,COMMON,Christmas Season
Women Clothes,Fabric,UNCOMMON,Summer Season
Women Clothes,"Jumpsuits, Playsuits & Overalls",UNCOMMON,Summer Season
Women Clothes,Lingerie & Underwear,UNCOMMON,Summer Season
Women Clothes,Maternity Wear,UNCOMMON,Summer Season
Women Clothes,Pants & Leggings,COMMON,Rainy Season
Women Clothes,Skirts,COMMON,Summer Season
Women Clothes,Sleepwear & Pajamas,COMMON,Rainy Season
Women Clothes,Socks & Stockings,COMMON,Rainy Season
Women Clothes,Wedding Dresses,COMMON,Summer Season
Women Clothes,Wedding Dresses,COMMON,Christmas Season
Women Shoes,Flat Sandals & Flip Flops,COMMON,Summer Season
Women Shoes,Flats,COMMON,Summer Season
Women Shoes,Heels,UNCOMMON,Summer Season
Women Shoes,Wedges,COMMON,Summer Season